,Clip_Name,sentence,label_desc,use,label
0,Ses01F_impro01_F000,Excuse me.,Neutral,train,1
1,Ses01F_impro01_F001,Yeah.,Neutral,validation,1
2,Ses01F_impro01_F002,Is there a problem?,Neutral,train,1
3,Ses01F_impro01_F012,That's out of control.,Negative,train,0
4,Ses01F_impro01_M011,I don't understand why this is so complicated for people when they get here. It's just a simple form. I just need an ID.,Negative,train,0
5,Ses01F_impro01_M013,Yeah. Do you want to see my supervisor? Huh? Yeah. Do you want to see my supervisor? Fine. I'll be right back.,Negative,test,0
6,Ses01F_impro02_F000,Did you get the mail? So you saw my letter?,Negative,validation,0
7,Ses01F_impro02_F001,Yeah. I know.,Negative,test,0
8,Ses01F_impro02_F002,I don't know. I put in that. request too. They didn't...,Negative,train,0
9,Ses01F_impro02_F003,"I guess, you know, everybody has to make sacrifices.",Neutral,train,1
10,Ses01F_impro02_F004,"There's people that have given more though, you know?",Negative,test,0
11,Ses01F_impro02_F005,I know.,Negative,train,0
12,Ses01F_impro02_F006,"There's babies over there, though, that need mothers.",Neutral,train,1
13,Ses01F_impro02_F008,"Just, you know, kicking myself.",Negative,test,0
14,Ses01F_impro02_F010,things just aren't what they seem.,Negative,train,0
15,Ses01F_impro02_F012,"If not me then, who?",Negative,train,0
16,Ses01F_impro02_F013,"You'll videotape everything, yeah?",Negative,train,0
17,Ses01F_impro02_F014,"Maybe you can send it to me, like stream it, yeah?",Negative,train,0
18,Ses01F_impro02_F015,Last month-- Yeah.,Negative,test,0
19,Ses01F_impro02_F016,I have to find sitters.,Neutral,train,1
20,Ses01F_impro02_F017,"We've got friends, that's why we moved here, huh? Because there is a day care down the street.",Negative,test,0
21,Ses01F_impro02_F018,And your mother is close by.,Neutral,train,1
22,Ses01F_impro02_F019,I'll send you lots of letters.,Negative,train,0
23,Ses01F_impro02_F020,And I want lots and lots and lots of pictures.,Negative,validation,0
24,Ses01F_impro02_M001,"I don't understand. You've already done so much, I don't know why do you have to go back.",Negative,train,0
25,Ses01F_impro02_M005,I don't know how you can be okay with this? I don't know why you're not-- you're fine with it.,Negative,validation,0
26,Ses01F_impro02_M009,I just don't see why it has to be you.,Negative,train,0
27,Ses01F_impro02_M010,What am I going to do? Huh?,Negative,train,0
28,Ses01F_impro02_M011,Yeah.,Negative,train,0
29,Ses01F_impro02_M012,Don't you guys have access to computers over there.,Neutral,train,1
30,Ses01F_impro02_M013,I just don't know how I'm going to do it without you.,Negative,train,0
31,Ses01F_impro02_M014,I can't raise a baby by myself. How?,Negative,validation,0
32,Ses01F_impro02_M015,I know.,Neutral,train,1
33,Ses01F_impro03_F000,Well Vegas was awesome.,Positive,train,2
34,Ses01F_impro03_F001,"And, um, I got married.",Positive,train,2
35,Ses01F_impro03_F002,Yeah. In the old town part.,Positive,train,2
36,Ses01F_impro03_F004,Um- Yes. It was very romantic.,Positive,test,2
37,Ses01F_impro03_F005,It was at the slot machines.,Positive,train,2
38,Ses01F_impro03_F006,"Uhuh, uhuh. He won big and he-and he realized that the only thing that would make it better was me as his bride.",Positive,test,2
39,Ses01F_impro03_F008,"Yeah. Well. You know, because he's leaving the next day.",Positive,test,2
40,Ses01F_impro03_F009,But we're going to have a honeymoon cruise.,Positive,validation,2
41,Ses01F_impro03_F010,Oh. I hadn't even thought about that.,Positive,test,2
42,Ses01F_impro03_F012,Oh. Totally.,Positive,validation,2
43,Ses01F_impro03_F013,I guess I'll- I guess I'll have an internet husband.[LAUGHTER],Positive,train,2
44,Ses01F_impro03_F016,"He likes to keep tabs, you know.",Positive,test,2
45,Ses01F_impro03_F017,"Uh, I think seven hundred and fifty dollars.",Neutral,train,1
46,Ses01F_impro03_F018,Penny slots. That's what he plays.,Neutral,train,1
47,Ses01F_impro03_F019,Yeah.,Neutral,train,1
48,Ses01F_impro03_F021,Yeah. We played Wheel of Fortune pennies. It's like a giant thing with like-,Positive,train,2
49,Ses01F_impro03_F022,Fifty bucks. Mmhmm.,Neutral,train,1
50,Ses01F_impro03_F023,Yeah.,Neutral,train,1
51,Ses01F_impro03_F024,Well so now we're married. We have cat children.,Positive,train,2
52,Ses01F_impro03_F025,"We renamed Brenda, Lumber Janet.",Positive,validation,2
53,Ses01F_impro03_F026,She needs a new name each state that we go into. [LAUGHTER],Positive,test,2
54,Ses01F_impro03_M000,So what's up? What's new?,Neutral,train,1
55,Ses01F_impro03_M001,Yeah. I heard.,Neutral,train,1
56,Ses01F_impro03_M006,He turned to you and was like...,Neutral,train,1
57,Ses01F_impro03_M007,[LAUGHTER] That's really romantic.,Positive,train,2
58,Ses01F_impro03_M008,Yeah.,Neutral,test,1
59,Ses01F_impro03_M013,Like you need another one of those.[LAUGHTER],Positive,train,2
60,Ses01F_impro03_M014,Is that your phone?,Positive,train,2
61,Ses01F_impro03_M015,He loves you.,Positive,train,2
62,Ses01F_impro03_M019,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much. I don't know.,Neutral,validation,1
63,Ses01F_impro03_M020,"But the pennies always get you because you end up spending like, you know, fifty bucks.",Neutral,validation,1
64,Ses01F_impro03_M021,"like, wait, but it's just pennies. You're like, wait a minute I'm on to you.",Neutral,train,1
65,Ses01F_impro03_M023,[LAUGHTER] Cat babies.,Positive,train,2
66,Ses01F_impro03_M024,That's fair enough.,Neutral,test,1
67,Ses01F_impro04_F000,"Uh, what? Craig's List? Oh the internet thing?",Neutral,test,1
68,Ses01F_impro04_F001,I don't know. Isn't that-- that's all like escort services and things like that.,Neutral,train,1
69,Ses01F_impro04_F005,He just...,Neutral,train,1
70,Ses01F_impro04_F006,you know what? I heard about that job. I applied for that.,Neutral,train,1
71,Ses01F_impro04_F009,Yeah.,Neutral,train,1
72,Ses01F_impro04_F013,I just- I mean I call people up and I tell them what I'm good at.,Neutral,validation,1
73,Ses01F_impro04_F014,Yeah.,Neutral,train,1
74,Ses01F_impro04_F028,I'm not frustrated.,Negative,validation,0
75,Ses01F_impro04_F029,Who do you think you are?,Negative,validation,0
76,Ses01F_impro04_F030,You are so high and mighty. I just--,Negative,test,0
77,Ses01F_impro04_F031,Oh. I'm saving the environment. I'm riding this car because I- I want to.,Negative,test,0
78,Ses01F_impro04_F032,"The bus, I'm riding the bus because I want to.",Negative,train,0
79,Ses01F_impro04_F033,I can not-- you are not here by choice. Nobody would ride this bus by choice.,Negative,train,0
80,Ses01F_impro04_M002,No. There's regular jobs on there.,Neutral,train,1
81,Ses01F_impro04_M003,Uh huh.,Neutral,train,1
82,Ses01F_impro04_M004,I'm just saying I have a friend that got a good job on it so I was just recommending it.,Neutral,test,1
83,Ses01F_impro04_M005,He's like a manager for a theatre.,Neutral,train,1
84,Ses01F_impro04_M026,"To save the environment, carpool.",Neutral,validation,1
85,Ses01F_impro04_M027,Yes. One less car at a time.,Neutral,train,1
86,Ses01F_impro05_F008,Flight seven fourteen.,Negative,train,0
87,Ses01F_impro05_F009,"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",Negative,train,0
88,Ses01F_impro05_F011,Is this a joke?,Negative,test,0
89,Ses01F_impro05_F012,"Are there candid cameras? Is this that movie? There's that show, right? Airplane, airline.",Negative,validation,0
90,Ses01F_impro05_F014,"You're kidding me, this is a joke.",Negative,test,0
91,Ses01F_impro05_F015,Do you have any idea-- fifty dollars? That's supposed to replace everything that I have? Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that. It was incredibly expensive.,Negative,train,0
92,Ses01F_impro05_F016,We flew in from Paris. I've been shopping for three weeks.,Negative,test,0
93,Ses01F_impro05_F017,I don't care what you're freaking sign says. Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,Negative,validation,0
94,Ses01F_impro05_F018,Do you understand who my husband is?,Negative,train,0
95,Ses01F_impro05_F019,"If you're- if you're- if you're looking for a lawsuit, baby, you've found it.",Negative,train,0
96,Ses01F_impro05_F020,Oh-Oh. It's a gift. You're-You're helping me out here?,Negative,train,0
97,Ses01F_impro05_F021,You are cruising for a bruising. You are in so much trouble.,Negative,train,0
98,Ses01F_impro05_F022,Who's in charge? Who is the president of Jet Blue?,Negative,train,0
99,Ses01F_impro05_F023,Because I probably know him.,Negative,train,0
100,Ses01F_impro05_F024,Yeah.,Negative,train,0
101,Ses01F_impro05_F025,"I don't want money, I want my clothes.",Negative,test,0
102,Ses01F_impro05_F026,What's your name?,Negative,train,0
103,Ses01F_impro05_F028,Okay. I'll do that.,Negative,train,0
104,Ses01F_impro05_F029,I don't think you have done everything you could do because I don't have my bag here yet.,Negative,train,0
105,Ses01F_impro05_F030,A letter? I'll make a personal phone call.,Negative,train,0
106,Ses01F_impro05_M000,Hi. Thanks for waiting.,Neutral,train,1
107,Ses01F_impro05_M001,Can I help you?,Positive,test,2
108,Ses01F_impro05_M002,Uh huh.,Positive,test,2
109,Ses01F_impro05_M014,"No, no.",Neutral,test,1
110,Ses01F_impro05_M015,"No, no. This is real.",Neutral,train,1
111,Ses01F_impro05_M030,"Right now all I can do is just give you this fifty dollars, I'm really sorry.",Neutral,train,1
112,Ses01F_impro05_M031,Oh. My name is Sean. Hi.,Neutral,train,1
113,Ses01F_impro05_M034,"If you want, you can write a letter. I can give you the address. Yes. An angry--",Neutral,validation,1
114,Ses01F_impro05_M035,"Or you can make a phone call. But I think a letter might be a little more-- in my impression, letters have more...",Neutral,validation,1
115,Ses01F_impro06_F002,No.,Negative,test,0
116,Ses01F_impro06_F003,That's sweet.,Neutral,train,1
117,Ses01F_impro06_F004,Thank you.,Neutral,validation,1
118,Ses01F_impro06_F005,I went to see her headstone a week or two ago.,Negative,train,0
119,Ses01F_impro06_F006,"I used to go to cemeteries a lot before she died. I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.",Negative,validation,0
120,Ses01F_impro06_F007,So I was like wandering around before. It takes forever to find her headstone; I always lose it. You know.,Negative,train,0
121,Ses01F_impro06_F008,So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone. And-,Negative,train,0
122,Ses01F_impro06_F009,"this woman came up and, you know, it was hers. It was her person that was there.",Neutral,train,1
123,Ses01F_impro06_F010,"Yeah. And she was like, that's pathetic, I hope you enjoy it.",Negative,validation,0
124,Ses01F_impro06_F011,"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine. She was like, I would rather have her back, honestly.",Negative,train,0
